ID,Group,Abbreviation,Type
BE1,2,BE,Layers
BE10,2,BE,Layers
BE2,2,BE,Layers
BE3,2,BE,Layers
BE4,2,BE,Layers
BE5,2,BE,Layers
BE6,2,BE,Layers
BE7,2,BE,Layers
BE8,2,BE,Layers
BE9,2,BE,Layers
BJ1,4,BJY,Versatile
BJ10,4,BJY,Versatile
BJ13,4,BJY,Versatile
BJ15,4,BJY,Versatile
BJ16,4,BJY,Versatile
BJ17,4,BJY,Versatile
BJ18,4,BJY,Versatile
BJ19,4,BJY,Versatile
BJ2,4,BJY,Versatile
BJ20,4,BJY,Versatile
BJ21,4,BJY,Versatile
BJ22,4,BJY,Versatile
BJ24,4,BJY,Versatile
BJ3,4,BJY,Versatile
BJ4,4,BJY,Versatile
BJ5,4,BJY,Versatile
BJ6,4,BJY,Versatile
BJ7,4,BJY,Versatile
BJ8,4,BJY,Versatile
BJ9,4,BJY,Versatile
DX1,5,DXB,Versatile
DX10,5,DXB,Versatile
DX12,5,DXB,Versatile
DX16,5,DXB,Versatile
DX17,5,DXB,Versatile
DX18,5,DXB,Versatile
DX19,5,DXB,Versatile
DX2,5,DXB,Versatile
DX20,5,DXB,Versatile
DX21,5,DXB,Versatile
DX22,5,DXB,Versatile
DX23,5,DXB,Versatile
DX24,5,DXB,Versatile
DX25,5,DXB,Versatile
DX3,5,DXB,Versatile
DX4,5,DXB,Versatile
DX6,5,DXB,Versatile
DX7,5,DXB,Versatile
DX8,5,DXB,Versatile
DX9,5,DXB,Versatile
JSW1,5,JSW,Versatile
JSW10,5,JSW,Versatile
JSW16,5,JSW,Versatile
JSW17,5,JSW,Versatile
JSW18,5,JSW,Versatile
JSW19,5,JSW,Versatile
JSW2,5,JSW,Versatile
JSW20,5,JSW,Versatile
JSW21,5,JSW,Versatile
JSW23,5,JSW,Versatile
JSW24,5,JSW,Versatile
JSW25,5,JSW,Versatile
JSW3,5,JSW,Versatile
JSW4,5,JSW,Versatile
JSW5,5,JSW,Versatile
JSW6,5,JSW,Versatile
JSW7,5,JSW,Versatile
JSW8,5,JSW,Versatile
JSW9,5,JSW,Versatile
LH1,1,LH,Versatile
LH10,1,LH,Versatile
LH16,1,LH,Versatile
LH17,1,LH,Versatile
LH18,1,LH,Versatile
LH19,1,LH,Versatile
LH2,1,LH,Versatile
LH20,1,LH,Versatile
LH21,1,LH,Versatile
LH22,1,LH,Versatile
LH23,1,LH,Versatile
LH24,1,LH,Versatile
LH25,1,LH,Versatile
LH3,1,LH,Versatile
LH4,1,LH,Versatile
LH5,1,LH,Versatile
LH6,1,LH,Versatile
LH7,1,LH,Versatile
LH8,1,LH,Versatile
LH9,1,LH,Versatile
LY1,2,LY,Broilers
LY10,2,LY,Broilers
LY2,2,LY,Broilers
LY3,2,LY,Broilers
LY4,2,LY,Broilers
LY5,2,LY,Broilers
LY6,2,LY,Broilers
LY7,2,LY,Broilers
LY8,2,LY,Broilers
