ID,Group,Original producing area,Ecotype
W0101,4,India,Or-I
W0102,4,India,Or-I
W0103,4,India,Or-I
W0106,4,India,Or-I
W0107,3,India,Or-I
W0108,3,India,Or-II
W0120,5,India,Or-II
W0121,5,India,Or-I
W0123,4,India,Or-I
W0124,4,India,Or-I
W0125,2,India,Or-III
W0126,2,India,Or-III
W0128,4,India,Or-I
W0130,4,India,Or-I
W0132,2,India,Or-II
W0133,2,India,Or-III
W0134,2,India,Or-III
W0135,2,India,Or-III
W0136,2,India,Or-III
W0137,2,India,Or-III
W0138,2,India,Or-III
W0141,2,India,Or-III
W0143,3,Sri Lanka,Or-II
W0144,3,Sri Lanka,Or-I
W0145,3,Thailand,Or-II
W0147,3,India,Or-I
W0148,4,India,Or-I
W0149,4,India,Or-III
W0151,4,India,Or-I
W0152,4,India,Or-I
W0153,2,India,Or-III
W0157,2,India,Or-II
W0163,6,Thailand,Or-II
W0164,6,Thailand,Or-II
W0165,5,Thailand,Or-II
W0166,5,Thailand,Or-II
W0168,3,Thailand,Or-I
W0169,3,Thailand,Or-II
W0170,3,Thailand,Or-I
W0171,3,Thailand,Or-II
W0172,2,Thailand,Or-III
W0173,2,Thailand,Or-I
W0174,5,Thailand,Or-II
W0175,5,Thailand,Or-II
W0176,6,Thailand,Or-I
W0178,6,Thailand,Or-I
W0179,6,Thailand,Or-I
W0180,6,Thailand,Or-II
W0234,2,Thailand,Or-II
W0549,2,India,Or-III
W0573,2,Malaya,Or-III
W0574,2,Malaya,Or-I
W0576,5,Malaya,Or-II
W0587,5,Malaya,Or-II
W0589,4,Malaya,Or-I
W0590,4,Malaya,Or-I
W0593,2,Malaya,Or-III
W0594,2,Malaya,Or-II
W0596,5,Malaya,Or-II
W0600,5,Malaya,Or-II
W0605,4,Malaya,Or-I
W0606,4,Malaya,Or-II
W0610,3,Burma,Or-I
W0621,3,Burma,Or-III
W0623,5,Burma,Or-III
W0624,5,Burma,Or-II
W0625,3,Burma,Or-III
W0626,3,Burma,Or-I
W0627,3,Burma,Or-I
W0628,3,Burma,Or-II
W0629,3,Burma,Or-III
W0630,3,Burma,Or-I
W0631,6,Burma,Or-I
W0632,6,Burma,Or-I
W0633,3,Burma,Or-I
W0634,3,Burma,Or-II
W0635,7,Burma,Or-II
W0637,7,Burma,Or-III
W0638,6,Burma,Or-I
W0639,6,Burma,Or-I
W1080,4,India,Or-I
W1082,4,India,Or-I
W1083,4,India,Or-I
W1084,4,India,Or-I
W1086,6,India,Or-I
W1087,6,India,Or-II
W1090,6,India,Or-I
W1092,6,India,Or-I
W1093,5,India,Or-II
W1096,5,India,Or-II
W1102,3,India,Or-III
W1105,3,India,Or-I
W1107,6,India,Or-I
W1111,6,India,Or-I
W1112,6,India,Or-I
W1114,6,India,Or-III
W1117,6,India,Or-I
W1119,6,India,Or-III
W1121,3,India,Or-I
W1122,3,India,Or-II
W1124,5,India,Or-II
W1126,5,India,Or-II
W1142,4,India,Or-I
W1143,4,India,Or-I
W1161,2,Sri Lanka,Or-III
W1214,2,Philippines,Or-III
W1230,3,Dutch New Guinea,Or-I
W1236,3,Australian New Guinea,Or-II
W1238,5,Neth. New Guinea,Or-III
W1244,5,Nepal,Or-III
W1292,2,Indonesia,Or-II
W1294,2,Philippines,Or-III
W1295,4,Cambodia,Or-I
W1532,4,India,Or-I
W1533,2,India,Or-I
W1534,2,India,Or-III
W1536,2,Sri Lanka,Or-III
W1542,2,Malaya,Or-III
W1546,3,Thailand,Or-I
W1547,3,Thailand,Or-I
W1550,3,Thailand,Or-II
W1551,3,Thailand,Or-I
W1552,5,Thailand,Or-II
W1553,5,Thailand,Or-II
W1554,5,Thailand,Or-II
W1555,5,Thailand,Or-II
W1556,5,Thailand,Or-II
W1557,5,Thailand,Or-II
W1558,6,Thailand,Or-II
W1559,5,Thailand,Or-I
